Utbildningsområde,2019,2020,2021,2022,2023,2024
Data/IT,4685,5453,7447,4089,7564,4073
"Ekonomi, administration och försäljning",5891,6453,5243,6967,5187,5245
Friskvård och kroppsvård,168,160,260,120,120,48
"Hotell, restaurang och turism",1198,1295,1708,1425,1052,717
Hälso- och sjukvård samt socialt arbete,4525,5645,6492,3421,4990,4871
Journalistik och information,316,530,264,210,105,264
Juridik,110,250,70,105,260,70
"Kultur, media och design",1022,1519,2157,1551,1655,1119
"Lantbruk, djurvård, trädgård, skog och fiske",858,1147,662,1165,1174,900
Pedagogik och undervisning,1057,880,732,676,232,222
Samhällsbyggnad och byggteknik,4219,5901,4497,5241,7551,5281
Säkerhetstjänster,130,375,600,60,246,405
Teknik och tillverkning,6039,8723,4104,8991,9482,5163
Transporttjänster,1045,1252,790,926,1039,630
Övrigt,0,175,105,140,45,350
